,number,sentences
926,sg,గోపాలంకు పందెం గెలవాలని ఉంది .
927,any,రంగడికీ పందెం గెలవాలని .
928,any,రమను చేసుకోవాలని .
929,pl,నడక సాగించారు .
930,pl,పగలంతా నడిచారు .
931,sg,చీకటి పడింది .
932,sg,దారిలో గుడి కనపడింది .
933,any,చీటిలో ఏమీ ఉందో చూడాలని .
934,sg,పడుకునేముందు రంగడు చీటి తీసాడు .
935,any,ఏం రాసి ఉందో గోపాలంను అడగాలని .
936,,కాని తనకు చదువు రాదని తెలిసిపోతుంది .
937,,అందుకే అడగలేదు .
938,sg,చీటీ ని జేబులోనే ఉంచాడు .
939,sg,తలకింద మూట ఉంచుకుని నిద్రపోయాడు .
940,sg,కొంతసేపటికి గోపాలం చీటి తీశాడు .
941,any,గుళ్లో దొంగల భయం అని రాసి .
942,any,గోపాలం నిద్రపోలేదు .
943,sg,గుడి పూజారి ఇంటికి పోయాడు .
944,sg,మూటను దాచి అడిగాడు .
945,sg,పూజారి మూటను లోపల దాచాడు .
946,sg,తరవాత గోపాలం గుడికి చేరాడు .
947,sg,బాగా చీకటి పడింది .
948,pl,దొంగలు వచ్చారు .
949,pl,రంగడి తలకింది మూట తీశారు .
950,pl,నగలు తీసుకుని పారిపోయారు .
951,pl,పోతూపోతూ రాళ్ళు పోగుచేశారు .
952,pl,రంగడి మూటలో ఉంచారు .
953,any,ఇదంతా జరిగినా రంగడు లేవలేదు .
954,sg,బాగా అలసిపోయాడు .
955,pl,దొంగలు గోపాలం మూటకోసం చూశారు .
956,,కాని మూట కనిపించలేదు .
957,pl,దొంగలు రంగడి నగలతో పారిపోయారు .
958,pl,"గోపాలం , రంగడు లేచారు ."
959,sg,గోపాలం పూజారిని కలిశాడు .
960,sg,మూట తీసుకొని గుడికి చేరాడు .
961,any,తన చీటీలో దొంగల భయం అని రాసి .
962,sg,రంగడు తన మూట చూశాడు .
963,pl,లోపల రాళ్లు అగుపించాయి .
964,pl,నగలు లేవు .
965,sg,తన జేబులో చీటి గోపాలంకు ఇచ్చాడు .
966,sg,గోపాలం చదివాడు .
967,any,దొంగల భయం అనే రాసి .
968,sg,రంగడు చేసేది తన ఊరు చేరాడు .
969,sg,గోపాలం తన మూటను రమ తాతకు అందించాడు .
970,sg,గోపాలం పందెం గెలిచాడు .
971,sg,తన చదువే గోపాలంను కాపాడింది .
972,sg,రాములు ఒప్పుకున్నాడు .
973,sg,గోపాలంతో రమ పెళ్లి చేశాడు .
974,,ఆ ఊరు శివపురం NULL .
975,,కొడుకు గోపాలం NULL .
976,sg,గోపాలం పనీపాట లేకుండా తిరిగేవాడు .
977,sg,ఏదయినా పని చూసుకో .
978,sg,మేం పోతే ఎలా బతుకుతావు .
979,,అని మందలించారు .
980,sg,గోపాలం అలిగాడు .
981,sg,రోషం వచ్చింది .
982,sg,పని బాగా తిరిగాడు .
983,sg,సోములు సంతోషించాడు .
984,,"రమ , సీతాలు యాదగిరి కూతురు NULL ."
985,,యాదగిరిది పొరుగూరు NULL .
986,sg,బాగా సంపాదించాడు .
987,any,రమను గోపాలంను తమతో తీసుకుపోవాలని .
988,sg,అదే అడిగాడు .
989,sg,రమకు సంతోషం అయింది .
990,sg,సోములుకు అలివేలుకు కొడుకు కోడలు తమతో ఉండాలని ఉంది .
991,sg,అందుకే గోపాలం మేం సొంత ఊరు వదలం అన్నాడు .
992,sg,రమకు బాధగా ఉంది .
993,any,అయినా ఏమీ అనలేదు .
994,pl,చేసేది యాదగిరి సీతాలు తమ ఊరు చేరారు .
995,sg,రమను గోపాలంను యాదగిరి తీసుకుపోయాడు .
996,pl,రెండు రోజులు గడిపారు .
997,sg,రమకు హాయిగా ఉంది .
998,any,ఆ ఊరు రావాలని .
999,any,అదే గోపాలంతో అంది .
1000,any,గోపాలం వినలేదు .
1001,pl,గోపాలం రమ తిరిగి తమ ఊరికి చేరారు .
1002,sg,మూడు రోజుల అలాగే ఉంది .
1003,sg,రానురానూ బాధ పెరిగింది .
1004,any,అయినా నయం కాలేదు .
1005,sg,గోపాలంకు రోజు రోజుకు పెరిగింది .
1006,sg,సోములుకు అలివేలుకు కంగారుగా ఉంది .
1007,any,రమకు ఎటూ తోచడం .
1008,sg,గోపాలంకు బాధ అలాగే ఉంది .
1009,sg,తిండి తినేవాడు .
1010,sg,తింటే అరిగేది .
1011,,సోములుకూ అలివేలుకూ అనుమానం NULL .
1012,pl,గోపాలం అత్తా మామే చేశారు .
1013,,అని అనుమానం NULL .
1014,pl,దీపావళికి గోపాలంను తీసుకుపోయారు .
1015,,ఆ నాటి ఇదే వరుస NULL .
1016,pl,తీసుకుపోయి ఏదో చేశారు .
1017,sg,వీడికి ఏదో తినిపించాడు .
1018,,గోపాలంను తమకు కాకుండా చేయాలి . అనే ఇలా చేశారు . అని సోములు అలివేలు అనుమానం NULL .
1019,sg,రమ నాయనకు కబురు చేసింది .
1020,sg,యాదగిరి గోపాలంను చూశాడు .
1021,sg,నీరసంగా ఉన్నాడు .
1022,sg,మా ఊరికి తీసుకుపోతాను .
1023,sg,దవాఖానాలో చూపెడతాను .
1024,any,మంచి మందులు వాడాలి .
1025,sg,అని సోములుతో అన్నాడు .
1026,sg,సోములుకు అలివేలుకు కోపంగా ఉంది .
1027,,ఇదంతా యాదగిరి పనే NULL .
1028,any,మా కొడుకు మాకు కాకుండా చూడాలని .
1029,pl,మీరే మందు తినిపించారు .
1030,pl,అని బాధలో అన్నారు .
1031,any,దవాఖానాకు తీసుకుపోవాలి .
1032,sg,విబూదికి నయం కాదు . అని యాదగిరి ఎంతో బతిమాలాడు .
1033,sg,యాదగిరి బతిమాలాడు .
1034,sg,మీ దవాఖానా అవసరం లేదు .
1035,sg,మా ఊరి దాసుకు చూపెడతాను .
1036,,దాసు చేతివాటం మంచిది NULL .
1037,sg,విబూది పెడతాడు .
1038,sg,ఏదయినా సోకితే తొందరగా నయం అవుతుంది .
1039,sg,మందు పెడితే వెంటనే తెలిసిపోతుంది .
1040,,మా దాసుకు అంత మహిమ ఉన్నది .
1041,sg,అని సోములు అన్నాడు .
1042,sg,సోములు దాసుకు అంతా తెలిపాడు .
1043,sg,వాడు రమను గోపాలంను పిలిచాడు .
1044,sg,ముగ్గు వేశాడు .
1045,sg,ఏదేదో అన్నాడు .
1046,sg,కూచోబెట్టాడు .
1047,sg,ఇట్లా రోజంతా చేశాడు .
1048,sg,వాటిని మూట కట్టాడు ముగ్గులో ఉంచాడు .
1049,sg,ఇంకా చదువుతున్నాడు .
1050,,గోపాలం బాగా నీరసపడి .
1051,pl,అందుకే తూలుతున్నారు .
1052,sg,పదకొండు దాటింది వాడు ఇక అయిపోయింది .
1053,sg,నేను పోతున్నాను .
1054,any,ఈ మూటను మూడు రోజులు కదిలించకూడదు .
1055,,విబూది ఉన్నది .
1056,any,నాలుగవ రోజు అది తినాలి .
1057,sg,తగ్గిపోతుంది . అని వెళ్లిపోయాడు .
1058,any,గోపాలంకు నీరసం తగ్గలేదు .
1059,sg,రోజు రోజుకు పెరిగింది .
1060,sg,మూడు రోజులు అయింది .
1061,pl,నాలుగవ రోజు మూట తీశారు .
1062,,కానీ రమ నగలు కనిపించలేదు .
1063,pl,అందరూ లబోదిబోమన్నారు .
1064,sg,సోములు దాసు పోయాడు .
1065,sg,ఉరంతా చూశాడు .
1066,any,దాసు కనిపించలేదు .
1067,pl,ఇల్లు ఖాళీ చేశాడు . అని చెప్పారు .
1068,any,సోములుకు నోట మాట రాలేదు .
1069,pl,అటు నగలు పోయాయి .
1070,any,ఇటు గోపాలంకు తగ్గలేదు .
1071,sg,దాసు మోసం తెలిసింది .
1072,sg,సోములు అనుమానం తీరింది .
1073,sg,రమకు భయం భయంగా ఉంది .
1074,sg,నాయనను పిలిపించింది .
1075,sg,యాదగిరి సోములును సముదాయించాడు .
1076,sg,చివరకు ఒప్పించాడు .
1077,pl,గోపాలంను దవాఖానాలో చూపెట్టారు .
1078,sg,రోగం ముదిరింది .
1079,pl,ఇంతదాకా ఏమి చేశారు .
1080,any,శరీరంలో బలం లేకుండా .
1081,pl,మీ నమ్మకాలతో కోలుకోకుండా . అని దవాఖానాలో తిట్టారు .
1082,sg,సోములు ఎంతో బతిమాలాడు .
1083,,దవాఖానాలో సరయిన మందులు వాడారు .
1084,sg,కొన్ని రోజులకు నయం అయింది .
1085,,దీంతో సోములుకు మోసం తెలిసివచ్చింది
1086,,నా పేరు వెంకటేశు NULL .
1087,,మా ఊరు పతంగి NULL .
1088,sg,పతంగిలో నాకు ఒక దుకాణం ఉంది .
1089,,రాజలింగుది మా ఊరే NULL .
1090,,మేం ఎదురెదురుగా ఉంటాం .
1091,sg,రాజలింగుకు దుకాణం ఉంది .
1092,,నేనంటే అసూయ NULL .
1093,sg,నాతో పోటీపడేవాడు .
1094,,నాకంటే బాగా సంపాదించాలని ఆశ NULL .
1095,sg,పనిలేనివారిని చేరదీసేవాడు .
1096,any,సరుకులు కొనడానికి తెలివి కావాలి .
1097,any,అమ్మడానికి తెలివి కావాలి .
1098,sg,దురాశ పనికి రాదు . అని నేను రాజలింగుతో అన్నాను .
1099,,అయినా రాజలింగు నా మాట వినలేదు .
1100,sg,ఒకసారి నేను మిరపకాయలు కొన్నాను .
1101,sg,పంట కాలంలో కొన్నాను .
1102,sg,పది సంచులు కొన్నాను .
1103,sg,బాగా ఎండిన తరవాత దాచాను .
1104,sg,ఏడాది గదిలో ఉంచాను .
1105,any,మరుసటి ఏడు పంటలు పండలేదు .
1106,any,మిరప పంట సరిగా రాలేదు .
1107,sg,అనుకోకుండా మిరపకాయల ధర పెరిగింది .
1108,sg,బాగా పెరిగింది .
1109,sg,నేను కొన్నదానికి మూడింతలు పెరిగింది .
1110,sg,నా పదిసంచులు అమ్మాను .
1111,sg,మంచి లాభం గడించాను .
1112,sg,ఇది నోట ఈ నోట పాకింది .
1113,sg,రాజలింగుకు తెలిసింది .
1114,any,తెలివిగా సంపాదించాలి .
1115,any,సరుకు కొని నిలవ ఉంచాలి .
1116,sg,వంద ఉప్పు సంచులు ఖరీదు చేశాడు .
1117,sg,ఇంటికి చేరవేశాడు .
1118,sg,ఒక గదిలో సంచులు ఉంచాడు .
1119,sg,తాళం వేశాడు .
1120,pl,ఆరు నెలలు గడిచాయి .
1121,sg,రాజలింగు ఒకసారి తాళం తీసిచూశాడు .
1122,pl,సంచులు బాగా తడిసిపోయాయి .
1123,pl,సగం సంచులు పాడయినవి .
1124,sg,సగం ఉప్పు కరిగిపోయింది .
1125,,ఆ ఏడు బాగా వానలు కురిశాయి .
1126,,అందుకే గదిలో తడి చేరింది .
1127,pl,సంచులు తడిసిపోయాయి .
1128,sg,రాజలింగు లబోదిబోమన్నాడు .
1129,sg,చేసేది మిగిలింది అమ్మాడు .
1130,sg,పది సంచుల పసుపుని ఆరు నెలలు ఉంచాను .
1131,sg,నాలుగింతలు లాభం చేకూరింది .
1132,sg,ఆ పైసలతో మా ఇంటామెకు నగలు చేయించాను .
1133,sg,ఈ విషయం రాజలింగుకు తెలిసింది .
1134,sg,రాజలింగుకు కంటిమీద కునుకు లేదు .
1135,,నగలు కావాలని ఇంటామె ఒకటే పోరు NULL .
1136,sg,రాజలింగు ఈ సారి ఉల్లిపాయలు కొని దాచాడు .
1137,,ఒకటే మురుగు వాసన NULL .
1138,pl,ఉల్లిపాయలు మురిగిపోయాయి .
1139,pl,ఎండలకు ఉల్లిపాయలు పాడయిపోయాయి .
1140,sg,చేసేది ఉల్లిపాయలు పారవేశాడు .
1141,,పేరుకు రెండు గేదెల పాడి కాని రోజుకు లీటరు పాలు రావు .
1142,,ఇప్పుడు ఒకటి పాడిది NULL .
1143,,ఒకటి చూడిది NULL .
1144,sg,రాములు పాలు తానే పితుకుతాడు .
1145,sg,గేదెలను మేపుతాడు .
1146,any,అయినా పాడి పెరగలేదు .
1147,sg,రోజు ఉదయం ఎండుగడ్డి పెడతాడు .
1148,sg,ఒకసారి కుడితి పెడతాడు .
1149,sg,ఇంకోసారి పచ్చిమేత పెడతాడు .
1150,any,అయినా పాలు పెరగలేదు .
1151,any,రాములుకు ఏం తోచలేదు .
1152,sg,ఎండుగడ్డి మంచి ఆహారం కాదు .
1153,,అది కడుపు నిండుతుంది . కానీ అందులో పోషకవిలువలు లేవు .
1154,,దానిలో పాల దిగుబడి గుణంలేదు .
1155,any,పాలు పెరగాలంటే - పాడి పశువుల మేత సరఐన మోతాదులో ఉండాలి .
1156,any,ఆ మేతలో అన్ని రకాల పోషకాలు ఉండాలి .
1157,,ఇదే ఫీడు NULL .
1158,any,దాణాలో దినుసులు బాగా ఉండాలి .
1159,any,దానిలో మొక్కజొన్న ఉండాలి .
1160,any,పప్పుల పొడి తవుడు ఉండాలి .
1161,any,గోధుమ తవుడు ఉండాలి .
1162,any,ఫీడు ఎలా తయారు చేయాలి - దాణాను కొలతలతో పెట్టాలి .
1163,any,అన్ని పశువులకు ఒకేలాగా ఉండకూడదు .
1164,any,పాడి గేదెలకు ఒక రకంగా ఉండాలి .
1165,any,చూడి గేదెలకు ఒక రకంగా ఉండాలి .
1166,any,ఆవులకు ఒక రకంగా ఉండాలి .
1167,any,ఎద్దులకు ఒకరకంగా ఉండాలి .
1168,any,రకరకాలుగా ఉండాలి .
1169,any,పశువు వయసును చూడాలి .
1170,any,బరువును చూడాలి .
1171,any,గడ్డిని ముక్కలుగా చేయాలి .
1172,any,పశువులకు పెట్టాలి .
1173,any,పాడి పశువులను కడగాలి .
1174,any,పదికిలో దాణాలో మూడుకిలోల మొక్కజొన్నలు ఉండాలి .
1175,any,రెండు కిలోల పల్లిచెక్క ఉండాలి .
1176,any,ఖనిజ లవణాలు ఒక కిలో ఉండాలి .
1177,any,ఉప్పు ఒక కిలో ఉండాలి .
1178,pl,ఇలా పాలు పెరుగుతాయి .
1179,any,చూడి గేదెలకు ఫీడు ఎలా పెట్టాలి ?
1180,any,చూడి గేదెలకు ఫీడు పోవాలి .
1181,any,ముందు రెండింతలు పెట్టాలి .
1182,any,మూడు మాసాల ముందు రెండింతలు పెట్టాలి .
1183,any,మూడు రోజుల ముందు ఫీడు ఆపాలి .
1184,any,బాగా పచ్చిమేత పెట్టాలి .
1185,any,నూనె చెక్కలతో మేపకూడదు .
1186,sg,తవుడు అసలు పనికిరాదు .
1187,any,దూడలకు మెత్తని మేత పెట్టాలి .
1188,any,దూడల బరువు తెలుసుకుంటూ .
1189,any,నెమ్మదిగా దాణాకు అలవాటు చేయాలి .
1190,any,ఎండుగడ్డికి అలవాటు చేయాలి .
1191,any,దాణాలో పోషక విలువలను ఎలా పెంచాలి ?
1192,pl,కొందరు యూరియాను తీసుకుంటారు .
1193,pl,లేకుంటే అమోనియాను తీసుకుంటారు .
1194,pl,నీళ్లలో కలుపుతారు .
1195,pl,ఇలా నీళ్లను చల్లుతారు .
1196,pl,గడ్డి కుప్పలమీద బాగా చల్లుతారు .
1197,pl,తరువాత ఆ గడ్డి కుప్పలను తీసుకుంటారు .
1198,pl,పెద్ద తొట్టిలాంటి దానిలో పెడతారు .
1199,pl,మీద బరువు పెడతారు .
1200,pl,అణగ పెడతారు .
1201,pl,ఇలా కొన్ని రోజులు ఉంచుతారు .
1202,sg,ఇలా ప్రోటీను శాతం పెరుగుతుంది .
1203,,కాని గాలి చొరకుండా చూడాలి .
1204,sg,అప్పుడే ప్రొటీను శాతం పెరుగుతుంది .
1205,sg,లేకుంటే తగ్గిపోతుంది .
1206,pl,కొత్తగా ఒక డబ్బాను తయారు చేశారు .
1207,pl,చొప్పను ఇందులో ఉంచుతారు .
1208,pl,అమోనియాను గ్యాసుగా లోపలికి పంపుతారు .
1209,pl,ఇలా 14 రోజులు మూసి ఉంచుతారు .
1210,pl,ఇలా గడ్డి పోషకవిలువలు పెరుగుతాయి .
1211,sg,14 రోజులకు ప్రోటీను శాతం తగ్గుతుంది .
1212,any,ఇలా అమోనియాతో దాణా ప్రోటీను విలువ పెంచవచ్చు .
1213,any,మూడింతలు పెంచవచ్చు .
1214,any,ఈ దాణాను 6 నెలల నిలవ ఉంచవచ్చు .
1215,sg,ఇందులో నత్రజని శాతం ఎక్కువ ఉంటుంది .
1216,pl,బతుకుతెరువుకోసం పట్నం చేరారు .
1217,,పట్నం చేరేనాటికి సీతాలుకు ఇద్దరు పిల్లలు NULL .
1218,sg,సీతాలుకు చిన్న వయస్సులో పెళ్లయింది .
1219,sg,కానుపులకు తగ్గట్టు బలమైన తిండి లేదు .
1220,sg,రోజు మొదట పిల్లలకు తిండి పెట్టేది .
1221,sg,మిగిలితే తాను తినేది .
1222,sg,లేకపోతే పస్తులు పడుకునేది .
1223,sg,అందుకే అప్పుడే ముసలిదానిలా తయారయింది .
1224,sg,నడుం వంగిపోయింది .
1225,sg,ఈ నడుమ సీతాలు ఎప్పుడూ నీరసంగా ఉంటున్నది .
1226,sg,ఆకలి ఉండదు .
1227,sg,ఏ పని చేయ చేతకాదు .
1228,sg,మొదట్లో కొంచెం దగ్గు వచ్చేది .
1229,sg,ఎప్పుడూ ఖళ్లుఖళ్లుమని దగ్గుతూ ఉంటుంది .
1230,any,రాములుకు ఏం చెయ్యాలో తోచడం .
1231,sg,డాక్టరు సీతాలును పరీక్ష చేశాడు .
1232,sg,ఛాతీ ఫోటో తీయించి చూశాడు .
1233,sg,ఉమ్మి పరీక్షకు పంపి చూశాడు .
1234,sg,చివరకు సీతాలుకు క్షయ రోగం అని చెప్పాడు .
1235,any,రాములుకు ఏడుపు ఆగలేదు .
1236,sg,డాక్టరు రాములును ఊరడించాడు .
1237,sg,ఇప్పుడు ఆ భయం లేదు .
1238,sg,రోగం నయమవుతుంది .
1239,any,సీతాలుకు జబ్బు ముదరలేదు .
1240,,కానీ చాలా రోజులు మందులు తీసుకోవాలి .
1241,,మందుల ఖరీదు ఎక్కువే NULL .
1242,pl,అని డాక్టరుగారు చెప్పారు .
1243,sg,మా సీతాలుకే ఈ జబ్బు ఎందుకు వచ్చింది .
1244,sg,సీతాలు చాలా బలహీనంగా ఉంది .
1245,,బరువు చాలా తక్కువ NULL .
1246,sg,ఆమె శరీరంలో రోగాన్ని తట్టుకునే శక్తి తగ్గిపోయింది .
1247,sg,అందుకే ఈ జబ్బు ఆమెకి వచ్చింది .
1248,sg,ఈ జబ్బు పెద్ధవాళ్లకే వస్తుందా ?
1249,,పిల్లలకు రావచ్చా ?
1250,sg,పెద్దా చిన్నా లేదు .
1251,any,అందరికీ రావచ్చు .
1252,any,చంటిపిల్లలకు ఇది ఎక్కువ రావచ్చు .
1253,any,పిల్లలకు వెన్నెముకలో ఇది వస్తే గూని రావచ్చు .
1254,pl,ఆరోగ్యంగా ఉన్న పిల్లలు ఈ జబ్బు రాకుండా తట్టుకోగలరు .
1255,any,తక్కువ బరువుతో పుట్టిన పిల్లలకు ఈ జబ్బు రావచ్చు .
1256,any,ఈ జబ్బు రాకుండా పిల్లలకు టీకాలు ఇప్పించాలి
1257,pl,ఈ టీకాలు అన్ని ఆసుపత్రుల్లో దొరుకుతాయి .
1258,any,ఈ టీకాను పుట్టగానే ఇప్పించాలి .
1259,sg,క్షయ ఒకరి మరొకరికి అంటుకుంటుందా ?
1260,pl,ఈ పురుగులు కంటికి కనపడవు .
1261,pl,క్షయ ఉన్నవాళ్లు దగ్గినపుడు ఇవి గాలిలో చేరతాయి .
1262,pl,ఉమ్మి గాలిలో చేరతాయి .
1263,any,ఈ గాలిని పీల్చినవారికి క్షయ రావచ్చు .
1264,,డాక్టరు మందులు రాసిచ్చాడు .
1265,sg,రాములు సీతాలును ఇంటికి తీసుకువచ్చాడు .
1266,sg,కోడలు అత్తను ఏపని చేయనీయలేదు .
1267,any,సీతాలుకు తీరిక దొరికేటట్టు .
1268,pl,అవిసెల నూనె తీస్తారు .
1269,sg,కాని అవిసె నూనె వంటకు పనికిరాదు .
1270,,ఈ నూనెను ఎక్కువగా పరిశ్రమలలో వాడతారు .
1271,,వార్నీస్లు మరియు ఇతర రంగుల తయారీలో ఎక్కువగా వాడుతున్నారు .
1272,sg,నూనె తీసిన మిగిలే పొట్టు ఎరువుగా ఉపయోగపడుతుంది .
1273,sg,ఈ పంటను మన రాష్ట్రంలో ఎక్కువగా పండించడం ఎంతైనా అవసరం ఉంది .
1274,,పంటకాలం - నేలలు అవిసె పంట ముఖ్యంగా రబీ పంట .
1275,,దీని పంటకాలం సుమారు 4 నెలలు .
1276,sg,అక్టోబరు రెండవ వారంలో నాటితే ఫిబ్రవరి రెండవ వారంలో కోతకు వస్తుంది .
1277,any,ఈ పంటను అన్నిరకాల నేలల్లోను పండించవచ్చు .
1278,pl,ఎక్కువ నీళ్లు నిలిచి నేలలు ఈ పంటకు పనికిరావు .
1279,any,ఈ విత్తనాలు ఒక హెక్టారుకు 30 కిలోగ్రాములు కావాలి .
1280,pl,దీనివల్ల గింజలు బాగా మొలకెత్తుతాయి .
1281,any,రోగాల బారినుండి కాపాడుకోవచ్చు .
1282,any,ఒక కిలోగ్రాము అవిసె విత్తనాలకు ఒకటిన్నర గ్రాముల బావిస్టన్ మందు కలపాలి .
1283,,లేకుంటే 3 గ్రాముల థైరామ్ _ మందు కలపాలి .
1284,any,దీని విత్తనాల వచ్చే రోగాలను అరికట్టివచ్చు .
1285,any,విత్తనాలు వేసే పద్ధతి అవిసె పంట వేసే ముందు నేలను 2 లేక 3 సార్లు దున్నాలి .
1286,any,మొక్కలు ఎదగాలంటే జానెడు లోతు దున్నాలి .
1287,any,అవిసె పంటను చాళ్లలో వేయవలసి .
1288,any,దీనివల్ల శనగ పంటకు పట్టే వేరుకుళ్లు తెగులు మరియు ఎండుతెగులును అరికట్టవచ్చు .
1289,pl,అవిసెను కుసుమ పంటతో అంతరపంటగా వేసినప్పుడు ఎక్కువ లాభాలు వస్తాయి .
1290,any,నల్ల రేగడి భూములలో భూసార పరీక్ష చేయించిన అవసరమైతే 40 కిలోగ్రామ్ల పొటాషియం వాడవలసి .
1291,any,ఈ పంటకు సాధారణంగా 35 రోజులకు మొదటిసారి నీరు పెట్టాలి .
1292,any,ఆ తరవాత అవసరమయితే మరొకసారి కలుపు తియ్యాలి .
1293,any,హెక్టారుకు 600 లీటర్లు వాడాలి .
1294,any,ఆ తరవాత 15 రోజులకు అవసరాన్ని మరొకసారి పిచికారీ చెయ్యాలి .
1295,sg,అక్టోబరు మొదటివారంలో పిచికారీ చేస్తే అసలు పురుగు పట్టదు .
1296,pl,వేరుకుళ్ల వ్యాధి మరియు బూడిద తెగులు ఈ పంటను ఎక్కువగా నాశనం చేస్తాయి .
1297,,పాత రకం విత్తనాలు ఈ వ్యాధులను .
1298,sg,తాను వచ్చేస్తాడు .
1299,any,ఒక పెద్ద మనిషికి నేను అప్పు తీర్చలేదు .
1300,sg,అని రాసినాడు .
1301,sg,నువ్వు మొత్తం వయస్సంతా పరదేశంలోనే గడిపావు .
1302,any,ఇప్పుడు వచ్చి ఇల్లు నిలబెట్టుకో .
1303,pl,అందరికి కొడుకులు సంపాదిస్తున్నారు .
1304,,నేను ఒక్కదానినే ముసలిదానిని చస్తున్నాను .
1305,any,ఎవరూ రాలేదు .
1306,any,ఉత్తరం రాలేదు .
1307,sg,అతను ఇంకో పెళ్లి చేసుకున్నాడని విన్నాను .
1308,sg,నేను అతనికి ఉత్తరం రాయించాను -
1309,,నీవు చాలా చెడ్డ పని .
1310,,బహుశా మంచి పనే చేసావేమో .
1311,pl,నాకు కొంచెం తిండి పెట్టండి .
1312,sg,నేను అలసిపోయాను .
1313,,"ఇప్పుడు పశువుల పని , పొలం పని ఏమిచేయలేకపోతున్నాను ."
1314,sg,నా వయస్సు ఉడిగిపోయింది .
1315,sg,అతని చాలా భరించాను .
1316,sg,ఇప్పుడు అతన్ని తీసుకు వెళ్దామని వచ్చాను .
1317,sg,అతన్ని వెదికి చెబుతాను .
1318,any,ఇంటికి ఎందుకు చెప్పని ?
1319,sg,ఇంటిని ఎందుకు పాడుచేశావని ?
1320,sg,ఇక నడువు .
1321,sg,ఇంక ఏమి లేదు .
1322,pl,మనకి పిల్లలు లేరు .
1323,any,మనం నాలుగు రోజులు కలసి .
1324,pl,ఎవరు ముందర చనిపోతే తరువాతవాళ్లు ఇంత మట్టి వేస్తారు .
1325,sg,ఆమెను అడిగాను .
1326,,ఆమె తలూపి అవునంది .
1327,sg,ఆమె మనస్సులో ఇప్పటికీ ఉత్సాహం ఉంది .
1328,,"బహుశా ఆమె అతనిని పెండ్లికొడుకుని అలంకరించినట్లు , అలంకరించి తీసుకుపోవాలనుకుంటుంది ."
1329,sg,కత్తి నీవు ఏం చేసుకుంటావు ? అన్నాను .
1330,sg,ఆమె నిశ్శబ్దంగా ఉండిపోయింది .
1331,sg,ఆమె జవాబు చెప్పింది - ఫజ్జా నా మొత్తం జీవితం నాశనం చేసాడు .
1332,sg,నేను అతని చాలా భరించాను .
1333,sg,వాడి నేను సంతానహీనురాలిని అయినాను .
1334,any,ఇప్పుడు అతను నాతో రావాలి .
1335,sg,రాకపోతే నేను అతన్ని అంతం చేస్తాను .
1336,sg,విని నేను హడలిపోయాను .
1337,sg,ఫీర్హుస్సేను ఆమె కత్తిని పెట్టెలో పెట్టాడు .
1338,,ఫజ్జాని వెతకటం మొదలుపెట్టాం .
1339,,పట్టణంలో ఉన్న రౌడీలను అందరిని గాలించాం .
1340,sg,వారిలో ఫాజ్జా ఉన్నాడు .
1341,pl,తెలుసుకోవడానికి ఆమెను ఆమె భర్త గుర్తులు అడిగాము .
1342,sg,ఆమె చెప్పింది - చూడటానికి చాలా బాగుంటాడు .
1343,pl,మంచి గడ్డం మీసం ఉన్నాయి .
1344,sg,అప్పుడు తెలిసింది .
1345,sg,ఈ విషయం రఫియాతో చెప్పవలసింది .
1346,pl,షాహెబును కలిసాము .
1347,pl,సిఫారసు చేయించాము .
1348,pl,ఫజ్జాకి జమానత్ ఇప్పించాము .
1349,,ఫజ్జాను విడిగా కలిసాం .
1350,,ఇప్పుడు ఇంటికి పోయి సుఖంగా ఉండటానికి ఏర్పాట్లు చేస్తామని చెప్పాం .
1351,,కానీ వాళ్లిద్దరూ ఒకరికొకరు గుర్తుపట్టలేక .
1352,sg,ఫీర్హుస్సేన్ వారిద్దరిని పరిచయం చేసాడు .
1353,any,చాలాసేపటి రఫియా మాట్లాడ .
1354,any,ఆమె ముఖం ఒక మాట రాలేదు .
1355,any,ఫజ్జా జుట్టు తెల్లబడి .
1356,sg,నుదురు ముడుతలు పడిపోయింది .
1357,,కళ్లు చిన్నవయినాయి .
1358,pl,పళ్లు ఊడిపోయినాయి .
1359,any,ఆమె ఈ ఫజ్జాను గుర్తుపట్టలేక .
1360,sg,ఇతని తన పూర్తి జీవితాన్ని అంకితం చేసింది .
1361,sg,ఆమె ఒక నిట్టూర్పు విడిచింది .
1362,sg,తల ఆడించింది .
1363,sg,దుప్పటితో మొహం కప్పుకుంది .
1364,any,చాలాసేపటి ఏడుస్తూనే .
1365,sg,సాయంత్రానికి ఫీర్హుస్సేన్ ఆమెను సముదాయించాడు .
1366,sg,ఫజ్జాను తీసుకుని ఇంటికి వెళ్లిపొమ్మని చెప్పాడు .
1367,pl,ఆమె కనుల అగ్ని కణాలు బయటకు వస్తున్నాయి .
1368,sg,ఆమె తిడుతూ చెప్పింది .
1369,sg,ఈ మోసగాడు నన్ను నాశనం చేసాడు .
1370,any,"నేను వీడి మొహం చూడను "" అని అంది ."
1371,sg,"తన మూట , దుప్పటి తీసుకొని బయటకు నడిచింది ."
1372,sg,"నేను ఏమి చెప్పలేకపోయాను ,"
1373,sg,ఆంధ్రప్రదేశ్ భారతదేశంలో నాలుగవ అతి పెద్ద రాష్ట్రం అయ్యి ఉత్తర దక్షిణాలకు వారధిలా ఉంది .
